"QID","min","max","n"
"Q001gM",0,1,2147
"Q002lM",0,1,2147
"Q003nM",0,1,2147
"Q004sM",0,1,2147
"Q005vM",0,1,2147
"Q006wM",0,1,2147
"Q007gE",0,1,406
"Q008lE",0,1,406
"Q009nE",0,1,406
"Q010sE",0,1,406
"Q011vE",0,1,406
"Q012wE",0,1,406
"Q013gE",0,1,360
"Q014lE",0,1,360
"Q015nE",0,1,360
"Q016sE",0,1,360
"Q017vE",0,1,360
"Q018wE",0,1,360
"Q019gM",0,1,2130
"Q020lM",0,1,2131
"Q021nM",0,1,2130
"Q022sM",0,1,2130
"Q023vM",0,1,2130
"Q024wM",0,1,2130
"Q027nH",0,1,942
"Q028sH",0,1,851
"Q029vH",0,1,985
"Q030wH",0,1,942
"Q037gM",0,1,2167
"Q038lM",0,1,2166
"Q039nM",0,1,2167
"Q040sM",0,1,2167
"Q041vM",0,1,2167
"Q042wM",0,1,2167
"Q051nH",0,1,851
"Q052sH",0,1,952
"Q054wH",0,1,851
"Q055gM",0,1,2145
"Q056lM",0,1,2145
"Q057nM",0,1,2145
"Q058sM",0,1,2145
"Q059vM",0,1,2145
"Q060wM",0,1,2145
"Q061gM",0,1,2234
"Q062lM",0,1,2234
"Q063nM",0,1,2234
"Q064sM",0,1,2234
"Q066wM",0,1,2234
"Q068lH",0,1,985
"Q070sH",0,1,895
"Q071vH",0,1,952
"Q073gH",0,1,985
"Q074lH",0,1,851
"Q076sH",0,1,942
"Q077vH",0,1,947
"Q080lE",0,1,366
"Q081nE",0,1,366
"Q082sE",0,1,366
"Q083vE",0,1,366
"Q084wE",0,1,366
"Q085gM",0,1,2164
"Q086lM",0,1,2164
"Q087nM",0,1,2164
"Q088sM",0,1,2164
"Q089vM",0,1,2164
"Q090wM",0,1,2164
"Q091gM",0,1,2200
"Q092lM",0,1,2200
"Q093nM",0,1,2200
"Q094sM",0,1,2200
"Q095vM",0,1,2200
"Q096wM",0,1,2200
"Q097gH",0,1,947
"Q098lH",0,1,942
"Q101vH",0,1,895
"Q103gH",0,1,942
"Q107vH",0,1,942
"Q109gH",0,1,895
"Q110gH",0,1,366
"Q117nH",0,1,895
"Q118sH",0,1,947
"Q120wH",0,1,895
"Q121gE",0,1,373
"Q122lE",0,1,373
"Q123nE",0,1,373
"Q124sE",0,1,373
"Q125vE",0,1,373
"Q126wE",0,1,373
"Q127gE",0,1,361
"Q128lE",0,1,361
"Q129nE",0,1,361
"Q130sE",0,1,361
"Q131vE",0,1,361
"Q132wE",0,1,361
"Q135nH",0,1,952
"Q138wH",0,1,952
"Q139gH",0,1,952
"Q140lH",0,1,895
"Q143vH",0,1,851
"Q147nH",0,1,947
"Q148sH",0,1,985
"Q150wH",0,1,947
"Q151gE",0,1,389
"Q152lE",0,1,389
"Q153nE",0,1,389
"Q154sE",0,1,389
"Q155vE",0,1,389
"Q156wE",0,1,389
"Q163gE",0,1,365
"Q164lE",0,1,365
"Q165nE",0,1,365
"Q166sE",0,1,365
"Q167vE",0,1,365
"Q168wE",0,1,365
"Q171nH",0,1,985
"Q174wH",0,1,985
"Q175vM_r",0,1,2234
"Q176lH_r",0,1,952
"Q177lH_r",0,1,947
"Q178gH_r",0,1,851
